2025-09-25 18:59:34 | INFO  | [http] Starting server on :8282/
2025-09-25 19:00:19 | INFO  | [http] Shutting down gracefully...
2025-09-25 19:00:19 | INFO  | [decypharr] Restarting Decypharr...
2025-09-25 19:00:19 | INFO  | [decypharr] Decypharr has been restarted.
2025-09-25 22:41:15 | INFO  | [decypharr] Decypharr has been stopped gracefully.
2025-09-25 19:06:13 | WARN  | [rclone] Rclone process exited with error error="waitid: no child processes"
2025-09-25 19:07:28 | ERROR | [repair] Error repairing radarr error="Get \"http://localhost:7878/api/v3/movie?tmdbId=\": dial tcp [::1]:7878: connect: connection refused"
2025-09-25 19:07:28 | ERROR | [repair] Error running repair error="job cancelled"
2025-09-25 19:07:46 | ERROR | [repair] Error repairing radarr error="Get \"http://localhost:7878/api/v3/movie?tmdbId=\": dial tcp [::1]:7878: connect: connection refused"
2025-09-25 19:07:46 | ERROR | [repair] Error running repair error="job cancelled"
2025-09-25 19:08:19 | ERROR | [qbit] Error validating arr error="Get \"alec/api/v3/health\": unsupported protocol scheme \"\""
2025-09-25 19:10:21 | ERROR | [rclone] Mount attempt failed error="failed to create rclone config: failed to create config realdebrid: failed to make request: Post \"http://localhost:5572/config/create\": dial tcp [::1]:5572: connect: connection refused" attempt=1 provider=realdebrid
2025-09-25 19:10:23 | WARN  | [rclone] RC unmount failed, trying force unmount error="failed to make request: Post \"http://localhost:5572/mount/unmount\": dial tcp [::1]:5572: connect: connection refused" provider=torbox
2025-09-25 19:10:23 | WARN  | [rclone] Failed to send interrupt signal, using kill error="os: process already finished"
2025-09-25 19:10:23 | ERROR | [rclone] Failed to kill rclone process error="os: process already finished"
2025-09-25 19:12:11 | ERROR | [qbit] Error validating arr error="failed to validate arr : 401 Unauthorized"
2025-09-25 19:12:15 | ERROR | [qbit] Error validating arr error="failed to validate arr : 401 Unauthorized"
2025-09-25 19:12:29 | ERROR | [qbit] Error validating arr error="Get \"radarr/api/v3/health\": unsupported protocol scheme \"\""
2025-09-25 19:13:08 | ERROR | [qbit] Error validating arr error="Get \"http://radarr:8989/api/v3/health\": dial tcp 172.18.0.6:8989: connect: connection refused"
2025-09-25 19:13:26 | ERROR | [qbit] Error validating arr error="Get \"http://radarr:8989/api/v3/health\": dial tcp 172.18.0.6:8989: connect: connection refused"
2025-09-25 19:13:43 | ERROR | [qbit] Error validating arr error="Get \"http://radarr:8989/api/v3/health\": dial tcp 172.18.0.6:8989: connect: connection refused"
2025-09-25 19:14:58 | ERROR | [torbox-webdav] Failed to process new torrent 4037411 error="failed to update torrent: Get \"https://api.torbox.app/v1/api/torrents/mylist?id=4037411\": dial tcp: lookup api.torbox.app on 127.0.0.11:53: server misbehaving"
2025-09-25 19:15:06 | ERROR | [torbox-webdav] Failed to process new torrent 4343068 error="failed to update torrent: Get \"https://api.torbox.app/v1/api/torrents/mylist/?id=4343068\": EOF"
2025-09-25 19:15:20 | ERROR | [realdebrid-webdav] Failed to get torrents error="Get \"https://api.real-debrid.com/rest/1.0/torrents?limit=5000\": dial tcp: lookup api.real-debrid.com on 127.0.0.11:53: server misbehaving"
2025-09-25 19:16:10 | ERROR | [repair] Mount check failed for radarr error="file /movies/Sinners (2025)/Sinners (2025).mkv does not exist, skipping repair"
2025-09-25 19:16:10 | ERROR | [repair] Error repairing radarr error="mount check failed: file /movies/Sinners (2025)/Sinners (2025).mkv does not exist, skipping repair"
2025-09-25 19:16:10 | ERROR | [repair] Error running repair error="job cancelled"
2025-09-25 19:16:32 | ERROR | [repair] Error repairing sonarr error="Get \"http://localhost:8989/api/v3/series?tvdbId=\": dial tcp [::1]:8989: connect: connection refused"
